Argile(%);Limon(%);Sable(%);Soil Texture
47;15;39;Clay
23;14;63;Sandy clay loam
35;13;51;Sandy clay
44;19;37;Clay
37;32;30;Clay loam
37;32;30;Clay loam
13;17;70;Sandy loam
14;23;62;Sandy loam
16;25;59;Sandy loam
46;37;17;Clay
21;37;41;Loam
19;39;42;Loam
11;23;66;Sandy loam
10;24;67;Sandy loam
11;24;65;Sandy loam
17;26;57;Sandy loam
10;22;68;Sandy loam
49;37;15;Clay
16;23;61;Sandy loam
12;28;60;Sandy loam
16;26;58;Sandy loam
18;23;59;Sandy loam
17;22;60;Sandy loam
27;28;46;Loam
10;27;63;Sandy loam
10;26;64;Sandy loam
35;22;43;Clay loam
36;18;46;Sandy clay
33;28;40;Clay loam
21;19;60;Sandy clay loam
58;18;24;Clay
36;18;46;Sandy clay
22;20;58;Sandy clay loam
19;24;57;Sandy loam
20;47;33;Loam
31;47;22;Clay loam
21;46;33;Loam
13;16;72;Sandy loam
3;16;82;Loamy sand
7;16;77;Sandy loam
1;16;83;Loamy sand
16;38;46;Loam
11;29;60;Sandy loam
38;21;41;Clay loam
33;17;50;Sandy clay loam
11;27;61;Sandy loam
2;12;86;Loamy sand
1;16;83;Loamy sand
4;19;76;Loamy sand
2;15;83;Loamy sand
5;12;83;Loamy sand
28;24;48;Sandy clay loam
21;21;58;Sandy clay loam
27;28;45;Loam
10;12;78;Sandy loam
10;16;73;Sandy loam
18;24;59;Sandy loam
10;20;70;Sandy loam
38;37;25;Clay loam
19;27;54;Sandy loam
21;36;43;Loam
10;27;63;Sandy loam
30;38;32;Clay loam
19;32;49;Loam
17;28;56;Sandy loam
21;38;41;Loam
19;25;56;Sandy loam
10;25;65;Sandy loam
19;35;47;Loam
26;40;34;Loam
8;24;67;Sandy loam
37;37;26;Clay loam
35;17;48;Sandy clay loam
39;15;46;Sandy clay
22;17;60;Sandy clay loam
31;14;55;Sandy clay loam
37;14;49;Sandy clay
38;16;46;Sandy clay
26;18;56;Sandy clay loam
30;24;46;Sandy clay loam
18;19;64;Sandy loam
3;15;81;Loamy sand
48;18;34;Clay
3;7;90;Sand
18;18;64;Sandy loam
19;26;55;Sandy loam
17;27;55;Sandy loam
31;23;46;Sandy clay loam
24;27;49;Sandy clay loam
29;21;50;Sandy clay loam
12;32;56;Sandy loam
22;23;55;Sandy clay loam
13;23;64;Sandy loam
21;18;61;Sandy clay loam
23;26;51;Sandy clay loam
6;19;75;Sandy loam
33;21;46;Sandy clay loam
22;24;54;Sandy clay loam
13;19;68;Sandy loam
7;21;72;Sandy loam
21;26;54;Sandy clay loam
38;22;39;Clay loam
14;32;54;Sandy loam
8;16;76;Sandy loam
18;27;55;Sandy loam
5;14;81;Loamy sand
22;23;55;Sandy clay loam
6;15;78;Loamy sand
12;13;75;Sandy loam
23;35;42;Loam
23;21;56;Sandy clay loam
32;28;40;Clay loam
4;24;71;Sandy loam
13;27;60;Sandy loam
8;18;74;Sandy loam
27;40;33;Loam
32;32;37;Clay loam
42;24;34;Clay
34;23;43;Clay loam
5;14;81;Loamy sand
5;19;76;Loamy sand
8;15;77;Sandy loam
7;16;77;Loamy sand
15;20;66;Sandy loam
16;17;67;Sandy loam
7;19;75;Sandy loam
5;15;80;Loamy sand
8;11;80;Loamy sand
8;20;72;Sandy loam
42;28;31;Clay
19;30;52;Loam
11;23;66;Sandy loam
4;19;77;Loamy sand
8;22;70;Sandy loam
12;25;63;Sandy loam
